Plot,Sp1,Sp2,Sp3,Count1,Count2,Count3
0,FESBRA,OREALP,SILACA,41,39,34
5,FESBRA,SILACA,SENFRE,28,18,13
7,CARPHA,GEUROS,FESBRA,20,15,14
9,FESBRA,CARALB,TRISPI,22,11,6
13,FESBRA,TRISPI,CIRSCO,12,9,7
18,FESBRA,SILACA,BESALP,21,21,19
20,TRISPI,SENFRE,NA,17,14,NA
22,POASPP,NA,NA,10,NA,NA
36,FESBRA,ELYSCR,LUZSPI,33,14,6
39,TRISPI,SENFRE,ELYSCR,36,32,12
43,TRISPI,SENFRE,NA,19,11,NA
47,FESBRA,ELYSCR,CIRSCO,15,11,8
48,DESCAE,CIRSCO,GENARV,23,12,9
51,FESBRA,BESALP,NA,37,6,NA
53,FESBRA,NA,NA,50,NA,NA
54,FESBRA,NA,NA,7,NA,NA
56,TRIDAS,FESBRA,GEUROS,69,40,37
57,FESBRA,ELYSCR,BESALP,21,13,12
59,FESBRA,ELYSCR,TRISPI,97,20,8
60,TRISPI,ELYSCR,FESBRA,22,14,12
61,TRISPI,FESBRA,NA,40,37,NA
62,FESBRA,NA,NA,36,NA,NA
66,FESBRA,GEUROS,CARRUP,47,45,37
69,FESBRA,TRISPI,LUZSPI,60,18,9
70,FESBRA,NA,NA,17,NA,NA
71,CARPYR,DESCAE,FESBRA,33,22,13
74,GEUROS,ERISIM,SILACA,42,31,22
75,CARALB,DESCAE,CARPYR,26,22,20
76,FESBRA,NA,NA,6,NA,NA
77,GEUROS,CARSCO,FESBRA,29,17,17
79,SIBPRO,CARSCO,KOBMYO,80,62,56
81,CARPYR,KOBMYO,NA,42,14,NA
84,CARPYR,UNKOPP,NA,46,9,NA
89,SENFRE,ANGGRA,NA,14,6,NA
94,CIRSCO,TRISPI,NA,9,8,NA
95,AGRVAR,SILACA,ANGGRA,42,9,8
98,GEUROS,ANTMED,CARHET,34,32,27
99,ANTMED,DESCAE,FESBRA,13,12,12
101,MINOBT,SENFRE,NA,12,8,NA
103,FESBRA,OXYDIG,NA,7,7,NA
104,GEUROS,KOBMYO,TRIDAS,102,36,21
,,,,,,
106,FESBRA,GEUROS,TRIDAS,37,29,21
107,OXYDIG,MINOBT,SENFRE,49,13,6
108,CARPHA,TRISPI,CARSPP,15,15,10
109,ERISIM,CARSPP,CARPYR,20,16,12
111,SENFRE,DESCAE,CARALB,22,20,16
112,ERISIM,DESCAE,CARALB,38,27,9
113,DESCAE,LUZSPI,ANTMED,62,35,28
117,ANTMED,SILACA,TRISPI,62,43,26
118,OXYDIG,STEUMB,NA,27,7,NA
119,FESBRA,TRISPI,CARPHA,35,18,12
120,TRIDAS,BISBIS,AQUCOR,21,20,14
122,ERISIM,GEUROS,DESCAE,78,69,61
123,CARPYR,NA,NA,17,NA,NA
124,TRISPI,CARPYR,CARPER,15,14,11
125,CARPHA,ANTMED,CARELY,20,16,8
126,GEUROS,ERISIM,FESBRA,97,79,45
127,MINOBT,TRISPI,NA,9,9,NA
128,BESALP,CARALB,FESBRA,15,9,7
129,FESBRA,DESCAE,ANGGRA,33,17,14
132,GEUROS,LLOSER,KOBMYO,244,110,96
133,FESBRA,KOBMYO,OREALP,26,26,15
135,FESBRA,NA,NA,51,NA,NA
136,FESBRA,TRISPI,NA,119,13,NA
137,FESBRA,TRISPI,NA,42,7,NA
139,FESBRA,TRISPI,NA,55,27,NA
141,FESBRA,UNKMLF,POASPP,16,7,6
145,OXYDIG,STEUMB,NA,47,20,NA
146,STEUMB,OXYDIG,NA,55,35,NA
147,OXYDIG,CARSPP,NA,19,9,NA
148,OXYDIG,STEUMB,SENFRE,17,10,8
149,OXYDIG,NA,NA,6,NA,NA
151,OXYDIG,NA,NA,14,NA,NA
152,OXYDIG,CARPYR,NA,17,8,NA
153,OXYDIG,STEUMB,NA,25,7,NA
154,OXYDIG,NA,NA,6,NA,NA
155,CARPYR,NA,NA,7,NA,NA
156,OXYDIG,STEUMB,NA,16,8,NA
157,CARPYR,NA,NA,22,NA,NA