Asylum Country,Origin Country,Year,Refugee Total,Ref. UNHCR assisted
Canada,Afghanistan,2013,2700,0
Canada,Libya,2013,230,0
Canada,Syrian Arab Rep.,2013,592,0
Germany,Afghanistan,2013,24203,0
Germany,Libya,2013,141,0
Germany,Syrian Arab Rep.,2013,21253,0
Lebanon,Afghanistan,2013,16,16
Lebanon,Libya,2013,5,5
Lebanon,Syrian Arab Rep.,2013,851284,851284
Sweden,Afghanistan,2013,10499,0
Sweden,Libya,2013,380,0
Sweden,Syrian Arab Rep.,2013,17984,0
Switzerland,Afghanistan,2013,2578,0
Switzerland,Libya,2013,199,0
Switzerland,Syrian Arab Rep.,2013,2012,0
United Kingdom,Afghanistan,2013,9166,0
United Kingdom,Libya,2013,828,0
United Kingdom,Syrian Arab Rep.,2013,3169,0
United States,Afghanistan,2013,1071,0
United States,Libya,2013,159,0
United States,Syrian Arab Rep.,2013,3802,0
Canada,Afghanistan,2012,2609,0
Canada,Libya,2012,241,0
Canada,Syrian Arab Rep.,2012,533,0
Germany,Afghanistan,2012,31746,0
Germany,Libya,2012,2280,0
Germany,Syrian Arab Rep.,2012,18165,0
Lebanon,Afghanistan,2012,12,12
Lebanon,Libya,2012,4,4
Lebanon,Syrian Arab Rep.,2012,126755,126755
Sweden,Afghanistan,2012,8454,0
Sweden,Libya,2012,355,0
Sweden,Syrian Arab Rep.,2012,6051,0
Switzerland,Afghanistan,2012,2099,0
Switzerland,Libya,2012,208,0
Switzerland,Syrian Arab Rep.,2012,1391,0
United Kingdom,Afghanistan,2012,9842,0
United Kingdom,Libya,2012,655,0
United Kingdom,Syrian Arab Rep.,2012,1713,0
United States,Afghanistan,2012,1017,0
United States,Libya,2012,137,0
United States,Syrian Arab Rep.,2012,1425,0
Canada,Afghanistan,2011,2659,0
Canada,Libya,2011,246,0
Canada,Syrian Arab Rep.,2011,547,0
Germany,Afghanistan,2011,30425,0
Germany,Libya,2011,686,0
Germany,Syrian Arab Rep.,2011,10155,0
Lebanon,Afghanistan,2011,5,5
Lebanon,Syrian Arab Rep.,2011,93,93
Sweden,Afghanistan,2011,6620,0
Sweden,Libya,2011,346,0
Sweden,Syrian Arab Rep.,2011,1206,0
Switzerland,Afghanistan,2011,2127,0
Switzerland,Libya,2011,223,0
Switzerland,Syrian Arab Rep.,2011,1074,0
United Kingdom,Afghanistan,2011,14424,0
United Kingdom,Libya,2011,515,0
United Kingdom,Syrian Arab Rep.,2011,693,0
United States,Afghanistan,2011,1103,0
United States,Libya,2011,115,0
United States,Syrian Arab Rep.,2011,373,0
Canada,Afghanistan,2010,2727,0
Canada,Libya,2010,292,0
Canada,Syrian Arab Rep.,2010,545,0
Germany,Afghanistan,2010,30404,0
Germany,Libya,2010,636,0
Germany,Syrian Arab Rep.,2010,10518,0
Lebanon,Afghanistan,2010,9,9
Lebanon,Libya,2010,1,1
Lebanon,Syrian Arab Rep.,2010,40,40
Sweden,Afghanistan,2010,4150,0
Sweden,Libya,2010,213,0
Sweden,Syrian Arab Rep.,2010,1169,0
Switzerland,Afghanistan,2010,1929,0
Switzerland,Libya,2010,264,0
Switzerland,Syrian Arab Rep.,2010,694,0
United Kingdom,Afghanistan,2010,23406,0
United Kingdom,Libya,2010,240,0
United Kingdom,Syrian Arab Rep.,2010,499,0
United States,Afghanistan,2010,1364,0
United States,Libya,2010,51,0
United States,Syrian Arab Rep.,2010,312,0
Canada,Afghanistan,2009,3015,
Canada,Libya,2009,305,
Canada,Syrian Arab Rep.,2009,577,
Germany,Afghanistan,2009,30320,
Germany,Libya,2009,571,
Germany,Syrian Arab Rep.,2009,10217,
Lebanon,Afghanistan,2009,8,8
Lebanon,Libya,2009,1,1
Lebanon,Syrian Arab Rep.,2009,60,60
Sweden,Afghanistan,2009,3637,
Sweden,Libya,2009,200,
Sweden,Syrian Arab Rep.,2009,1118,
Switzerland,Afghanistan,2009,1683,0
Switzerland,Libya,2009,299,0
Switzerland,Syrian Arab Rep.,2009,661,0
United Kingdom,Afghanistan,2009,23658,
United Kingdom,Libya,2009,219,
United Kingdom,Syrian Arab Rep.,2009,460,
United States,Afghanistan,2009,1711,0
United States,Libya,2009,50,0
United States,Syrian Arab Rep.,2009,341,0
Canada,Afghanistan,2008,3147,
Canada,Libya,2008,323,
Canada,Syrian Arab Rep.,2008,603,
Germany,Afghanistan,2008,25108,
Germany,Libya,2008,558,
Germany,Syrian Arab Rep.,2008,8205,
Lebanon,Afghanistan,2008,8,8
Lebanon,Libya,2008,1,1
Lebanon,Syrian Arab Rep.,2008,59,59
Sweden,Afghanistan,2008,2946,
Sweden,Libya,2008,177,
Sweden,Syrian Arab Rep.,2008,1084,
Switzerland,Afghanistan,2008,1610,
Switzerland,Libya,2008,298,
Switzerland,Syrian Arab Rep.,2008,626,
United Kingdom,Afghanistan,2008,23079,
United Kingdom,Libya,2008,178,
United Kingdom,Syrian Arab Rep.,2008,395,
United States,Afghanistan,2008,2102,
United States,Libya,2008,49,
United States,Syrian Arab Rep.,2008,320,
Canada,Afghanistan,2007,3470,
Canada,Libya,2007,308,
Canada,Syrian Arab Rep.,2007,624,
Germany,Afghanistan,2007,24236,
Germany,Libya,2007,470,
Germany,Syrian Arab Rep.,2007,6996,
Lebanon,Afghanistan,2007,9,9
Lebanon,Libya,2007,1,1
Lebanon,Syrian Arab Rep.,2007,29,29
Sweden,Afghanistan,2007,2611,
Sweden,Libya,2007,154,
Sweden,Syrian Arab Rep.,2007,1081,
Switzerland,Afghanistan,2007,1609,
Switzerland,Libya,2007,321,
Switzerland,Syrian Arab Rep.,2007,430,
United Kingdom,Afghanistan,2007,23565,
United Kingdom,Libya,2007,169,
United Kingdom,Syrian Arab Rep.,2007,364,
United States,Afghanistan,2007,2365,
United States,Libya,2007,63,
United States,Syrian Arab Rep.,2007,344,
Canada,Afghanistan,2006,14419,
Canada,Libya,2006,156,
Canada,Syrian Arab Rep.,2006,415,
Germany,Afghanistan,2006,21879,
Germany,Libya,2006,339,
Germany,Syrian Arab Rep.,2006,5845,
Lebanon,Afghanistan,2006,6,6
Lebanon,Syrian Arab Rep.,2006,6,6
Sweden,Afghanistan,2006,4278,
Sweden,Libya,2006,111,
Sweden,Syrian Arab Rep.,2006,1065,
Switzerland,Afghanistan,2006,1726,
Switzerland,Libya,2006,389,
Switzerland,Syrian Arab Rep.,2006,388,
United Kingdom,Afghanistan,2006,23069,
United Kingdom,Libya,2006,155,
United Kingdom,Syrian Arab Rep.,2006,286,
United States,Afghanistan,2006,13242,
United States,Libya,2006,68,
United States,Syrian Arab Rep.,2006,423,
Canada,Afghanistan,2005,15535,
Canada,Libya,2005,199,
Canada,Syrian Arab Rep.,2005,397,
Germany,Afghanistan,2005,31055,
Germany,Libya,2005,353,
Germany,Syrian Arab Rep.,2005,10469,
Lebanon,Afghanistan,2005,13,13
Sweden,Afghanistan,2005,4264,
Sweden,Libya,2005,105,
Sweden,Syrian Arab Rep.,2005,1032,
Switzerland,Afghanistan,2005,1595,
Switzerland,Libya,2005,419,
Switzerland,Syrian Arab Rep.,2005,294,
United Kingdom,Afghanistan,2005,22532,
United Kingdom,Libya,2005,120,
United Kingdom,Syrian Arab Rep.,2005,208,
United States,Afghanistan,2005,8831,
United States,Libya,2005,27,
United States,Syrian Arab Rep.,2005,150,
Canada,Afghanistan,2004,15242,
Canada,Libya,2004,189,
Canada,Syrian Arab Rep.,2004,459,
Germany,Afghanistan,2004,38576,
Germany,Libya,2004,651,
Germany,Syrian Arab Rep.,2004,16184,
Lebanon,Afghanistan,2004,31,14
Sweden,Afghanistan,2004,3903,
Sweden,Libya,2004,40,
Sweden,Syrian Arab Rep.,2004,940,
Switzerland,Afghanistan,2004,1524,
Switzerland,Libya,2004,421,
Switzerland,Syrian Arab Rep.,2004,179,
United Kingdom,Afghanistan,2004,22494,
United Kingdom,Libya,2004,52,
United Kingdom,Syrian Arab Rep.,2004,44,
United States,Afghanistan,2004,9778,
United States,Libya,2004,30,
United States,Syrian Arab Rep.,2004,197,
Canada,Afghanistan,2003,14616,
Canada,Libya,2003,198,
Canada,Syrian Arab Rep.,2003,424,
Germany,Afghanistan,2003,46975,
Germany,Libya,2003,535,
Germany,Syrian Arab Rep.,2003,15745,
Lebanon,Afghanistan,2003,49,19
Sweden,Afghanistan,2003,3425,
Sweden,Libya,2003,31,
Sweden,Syrian Arab Rep.,2003,1048,
Switzerland,Afghanistan,2003,1598,
Switzerland,Libya,2003,418,
Switzerland,Syrian Arab Rep.,2003,178,
United Kingdom,Afghanistan,2003,21718,
United Kingdom,Libya,2003,48,
United Kingdom,Syrian Arab Rep.,2003,16,
United States,Afghanistan,2003,9601,
United States,Libya,2003,33,
United States,Syrian Arab Rep.,2003,182,
,,,,
fnSeqID,Footnote,,,
*,"Persons recognized as refugees under the 1951 UN Convention/1967 Protocol, the 1969 OAU Convention, in accordance with the UNHCR Statute, persons granted a complementary form of protection and those granted temporary protection. In the absence of Government estimates, UNHCR has estimated the refugee population in 24 industrialized countries based on 10 years of individual refugee recognition.",,,
**,"The category of people in refugee-like situations is descriptive in nature and includes groups of persons who are outside their country or territory of origin and who face protection risks similar to those of refugees, but for whom refugee status has, for practical or other reasons, not been ascertained.",,,
